method,dist_code,level,MSE,CRLB_info,CRLB_floor,headroom_floor,efficiency
musiq,1,4,9.712849895533708e-31,2.6805837383605085e-06,0.025,3.8851399582134826e-29,1.0
musiq,1,5,7.231224964525941e-32,4.284803840405065e-06,0.025,2.892489985810376e-30,1.0
musiq,11,1,1.262177448353619e-30,0.0001511572850346232,0.025,5.048709793414476e-29,1.0
musiq,11,2,1.0978314264325747e-30,0.00019033402989970723,0.025,4.391325705730299e-29,1.0
musiq,11,3,1.2161605622157266e-30,0.00023330177535304413,0.025,4.864642248862906e-29,1.0
musiq,11,4,2.0543252740130517e-31,0.000304685571374426,0.025,8.217301096052206e-30,1.0
musiq,11,5,1.6434602192104412e-33,0.0004416185014781791,0.025,6.573840876841765e-32,1.0
musiq,10,1,0.0,3.2724787300734894e-05,0.025,0.0,1.0
musiq,10,2,1.9721522630525295e-31,1.1054017187508201e-05,0.025,7.888609052210118e-30,1.0
musiq,10,3,5.127595883936577e-31,1.8643202779331796e-06,0.025,2.0510383535746307e-29,1.0
musiq,10,4,6.573840876841765e-32,3.345852396958744e-07,0.025,2.6295363507367058e-30,1.0
musiq,10,5,8.587079645374556e-32,5.709931239269624e-08,0.025,3.434831858149822e-30,1.0
brisque,1,1,1.5514264469346565e-30,3.7547036341133265e-07,0.025,6.205705787738625e-29,1.0
brisque,1,2,2.300844306894618e-31,5.037571985573929e-07,0.025,9.20337722757847e-30,1.0
brisque,1,3,1.709198627978859e-31,1.3638872195853312e-06,0.025,6.836794511915435e-30,1.0
brisque,1,4,1.035379938102578e-31,2.6805837383605085e-06,0.025,4.141519752410312e-30,1.0
brisque,1,5,4.930380657631324e-32,4.284803840405065e-06,0.025,1.9721522630525295e-30,1.0
brisque,11,1,3.6813508910313885e-31,0.0001511572850346232,0.025,1.4725403564125552e-29,1.0
brisque,11,2,3.0173929624703703e-30,0.00019033402989970723,0.025,1.206957184988148e-28,1.0
brisque,11,3,7.55991700836803e-31,0.00023330177535304413,0.025,3.023966803347212e-29,1.0
brisque,11,4,1.8242408433235899e-31,0.000304685571374426,0.025,7.296963373294359e-30,1.0
brisque,11,5,9.860761315262648e-33,0.0004416185014781791,0.025,3.944304526105059e-31,1.0
brisque,10,1,1.7091986279788588e-30,3.2724787300734894e-05,0.025,6.836794511915435e-29,1.0
brisque,10,2,8.545993139894295e-32,1.1054017187508201e-05,0.025,3.4183972559577176e-30,1.0
brisque,10,3,3.944304526105059e-32,1.8643202779331796e-06,0.025,1.5777218104420236e-30,1.0
brisque,10,4,4.930380657631324e-32,3.345852396958744e-07,0.025,1.9721522630525295e-30,1.0
brisque,10,5,4.930380657631324e-32,5.709931239269624e-08,0.025,1.9721522630525295e-30,1.0
